CCCLastUpdated,RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
11/13/2023,1,11/5/2018,Infused (edible),Each,2,60,0,0,2,60
11/13/2023,2,11/20/2018,Buds,Grams,0,0,441.51,5159.59,441.51,5159.59
11/13/2023,2,11/20/2018,Infused (non-edible),Each,3,89.74,0,0,3,89.74
11/13/2023,2,11/20/2018,Infused (edible),Each,61,1381.9,0,0,61,1381.9
11/13/2023,2,11/20/2018,Concentrate (Each),Each,101,4931.18,0,0,101,4931.18
11/13/2023,6,11/21/2018,Buds,Each,7,163.91,0,0,7,163.91
11/13/2023,6,11/21/2018,Buds,Grams,0,0,1734.42,17285.72,1734.42,17285.72
11/13/2023,6,11/21/2018,Infused (edible),Each,303,6621.41,0,0,303,6621.41
11/13/2023,6,11/21/2018,Infused (non-edible),Each,11,476.83,0,0,11,476.83
11/13/2023,6,11/21/2018,Concentrate (Each),Each,232,10828.24,0,0,232,10828.24
11/13/2023,11,11/23/2018,Infused (edible),Each,150,4530.82,0,0,150,4530.82
11/13/2023,11,11/23/2018,Infused (non-edible),Each,7,213.12,0,0,7,213.12
11/13/2023,11,11/23/2018,Buds,Grams,0,0,1176,13223.33,1176,13223.33
11/13/2023,11,11/23/2018,Concentrate (Each),Each,197,9066.74,0,0,197,9066.74
11/13/2023,11,11/23/2018,Buds,Each,9,404.46,0,0,9,404.46
11/13/2023,16,11/24/2018,Buds,Each,115,1074.68,0,0,115,1074.68
11/13/2023,16,11/24/2018,Kief,Grams,0,0,37.1,158.1,37.1,158.1
11/13/2023,16,11/24/2018,Buds,Grams,0,0,1314.29,13139.43,1314.29,13139.43
11/13/2023,16,11/24/2018,Infused (non-edible),Each,7,220.44,0,0,7,220.44
11/13/2023,16,11/24/2018,Infused (edible),Each,167,4232.82,0,0,167,4232.82
11/13/2023,16,11/24/2018,Concentrate (Each),Each,156,8133.79,0,0,156,8133.79
11/13/2023,22,11/25/2018,Infused (non-edible),Each,3,31.87,0,0,3,31.87
11/13/2023,22,11/25/2018,Kief,Grams,0,0,10.6,23.65,10.6,23.65
11/13/2023,22,11/25/2018,Buds,Grams,0,0,557.46,6254.85,557.46,6254.85
11/13/2023,22,11/25/2018,Buds,Each,31,536.83,0,0,31,536.83
11/13/2023,22,11/25/2018,Concentrate (Each),Each,97,5351.28,0,0,97,5351.28
11/13/2023,22,11/25/2018,Infused (edible),Each,183,3071.75,0,0,183,3071.75
11/13/2023,28,11/26/2018,Concentrate (Each),Each,122,5182.8,0,0,122,5182.8
11/13/2023,28,11/26/2018,Infused (edible),Each,249,5500.61,0,0,249,5500.61
11/13/2023,28,11/26/2018,Buds,Each,31,520.69,0,0,31,520.69
11/13/2023,28,11/26/2018,Infused (non-edible),Each,9,351.92,0,0,9,351.92
11/13/2023,28,11/26/2018,Kief,Grams,0,0,5.3,18.22,5.3,18.22
11/13/2023,28,11/26/2018,Buds,Grams,0,0,1062.64,10235.62,1062.64,10235.62
11/13/2023,34,11/27/2018,Concentrate (Each),Each,184,9169.81,0,0,184,9169.81
11/13/2023,34,11/27/2018,Infused (non-edible),Each,9,220.03,0,0,9,220.03
11/13/2023,34,11/27/2018,Infused (edible),Each,267,4782.3,0,0,267,4782.3
11/13/2023,34,11/27/2018,Buds,Grams,0,0,927.05,9169.22,927.05,9169.22
11/13/2023,34,11/27/2018,Buds,Each,32,514.96,0,0,32,514.96
11/13/2023,39,11/28/2018,Buds,Each,68,1072.95,0,0,68,1072.95
11/13/2023,39,11/28/2018,Buds,Grams,0,0,967.52,9780.09,967.52,9780.09
11/13/2023,39,11/28/2018,Infused (non-edible),Each,8,185.77,0,0,8,185.77
11/13/2023,39,11/28/2018,Infused (edible),Each,298,6173.95,0,0,298,6173.95
11/13/2023,39,11/28/2018,Concentrate (Each),Each,177,9477.98,0,0,177,9477.98
11/13/2023,44,11/29/2018,Buds,Grams,0,0,1190.09,12250.88,1190.09,12250.88
11/13/2023,44,11/29/2018,Infused (non-edible),Each,13,355.1,0,0,13,355.1
11/13/2023,44,11/29/2018,Infused (edible),Each,283,6212.66,0,0,283,6212.66
11/13/2023,44,11/29/2018,Concentrate (Each),Each,184,8934.99,0,0,184,8934.99
11/13/2023,44,11/29/2018,Buds,Each,90,1410.78,0,0,90,1410.78
11/13/2023,49,11/30/2018,Concentrate (Each),Each,248,11524.64,0,0,248,11524.64
11/13/2023,49,11/30/2018,Kief,Grams,0,0,47.7,225,47.7,225
11/13/2023,49,11/30/2018,Infused (non-edible),Each,15,472.06,0,0,15,472.06
11/13/2023,49,11/30/2018,Infused (edible),Each,383,7849.88,0,0,383,7849.88
11/13/2023,49,11/30/2018,Buds,Grams,0,0,1426.14,15210.56,1426.14,15210.56
