CCCLastUpdated,RecordNo,ActivitySummaryDate,PlantTrackedCount,PlantBatchCount,StrainActiveCount,PlantImmatureCount,HarvestActiveCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,EmployeeCount,ProductActiveCount,PackageActiveCount
11/13/2023,1,10/15/2018,0,0,0,0,0,0,0,0,0,3,0,0
11/13/2023,2,10/16/2018,0,0,0,0,0,0,0,0,0,9,0,0
11/13/2023,3,10/17/2018,0,0,0,0,0,0,0,0,0,16.5,0,0
11/13/2023,4,10/18/2018,0,0,0,0,0,0,0,0,0,18.166666667,0,0
11/13/2023,5,10/19/2018,0,0,0,0,0,0,0,0,0,18.166666667,0,0
11/13/2023,6,10/22/2018,0,0,0,0,0,0,0,0,0,18.166666667,0,0
11/13/2023,7,10/23/2018,0,0,0,0,0,0,0,0,0,18.166666667,0,0
11/13/2023,8,10/24/2018,0,0,24.333333333,0,0,0,0,0,0,18.166666667,104.666666667,121.333333333
11/13/2023,9,10/25/2018,0,0,24.333333333,0,0,0,0,0,0,18.166666667,104.666666667,121.333333333
11/13/2023,10,10/26/2018,0,0,31.666666667,0,0,0,0,0,0,18.166666667,139.666666667,121.333333333
11/13/2023,11,10/29/2018,0,0,32,0,0,0,0,0,0,18.166666667,147.333333333,140.333333333
11/13/2023,12,10/30/2018,0,0,32,0,0,0,0,0,0,28.666666667,147.333333333,140.333333333
11/13/2023,13,10/31/2018,0,0,32,0,0,0,0,0,0,32.666666667,147.333333333,140.333333333
11/13/2023,14,11/1/2018,0,0,32,0,0,0,0,0,0,32.666666667,152.666666667,140.333333333
11/13/2023,15,11/2/2018,0,0,32,0,0,0,0,0,0,33.166666667,152.666666667,140.333333333
11/13/2023,16,11/5/2018,0,0,32,0,0,0,0,0,0,33.166666667,152.666666667,140.333333333
11/13/2023,17,11/6/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,165.333333333
11/13/2023,18,11/7/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,166.666666667
11/13/2023,19,11/8/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,166.666666667
11/13/2023,20,11/9/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,166.666666667
11/13/2023,21,11/12/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,180.666666667
11/13/2023,22,11/13/2018,0,0,32.333333333,0,0,0,0,0,0,33.166666667,166.333333333,180.666666667
11/13/2023,23,11/14/2018,0,0,32.666666667,0,0,0,0,0,0,33.166666667,168.166666667,184.666666667
11/13/2023,24,11/15/2018,0,0,32.666666667,0,0,0,0,0,0,33.166666667,175.166666667,205.666666667
11/13/2023,25,11/16/2018,0,0,32.666666667,0,0,0,0,0,0,42.833333333,175.166666667,205.666666667
11/13/2023,26,11/17/2018,0,0,32.666666667,0,0,0,0,0,0,42.833333333,175.166666667,209.333333333
11/13/2023,27,11/18/2018,114,0,42.333333333,0,0,5.5,108.5,0,0,42.833333333,183.833333333,219.666666667
11/13/2023,28,11/19/2018,538.5,0,42.833333333,0,0,6,532.5,0,0.5,42.833333333,187.166666667,230.666666667
11/13/2023,29,11/20/2018,538.5,0,43.5,0,0,6,532.5,0,0.5,42.833333333,199.5,264
11/13/2023,30,11/21/2018,479.5,0,43.5,0,0.5,6,473.5,59,0.5,42.833333333,201.166666667,268.166666667
11/13/2023,31,11/22/2018,479.5,0,43.5,0,0.5,6,473.5,59,0.5,42.833333333,201.166666667,268.166666667
11/13/2023,32,11/23/2018,424.5,0,43.5,0,1.5,6,418.5,114,0.5,42.833333333,201.166666667,272.833333333
11/13/2023,33,11/24/2018,424.5,0,43.833333333,0,1.5,6,418.5,114,0.5,42.833333333,201.833333333,276.5
11/13/2023,34,11/25/2018,424.5,0,43.833333333,0,1.5,6,418.5,114,0.5,42.833333333,202.166666667,283.333333333
11/13/2023,35,11/26/2018,424.5,0,43.833333333,0,1.5,6,418.5,114,0.5,44,211,290.666666667
11/13/2023,36,11/27/2018,283,0,27.533333333,0,1,4,279,76,0.333333333,35.6,128.733333333,179.7
11/13/2023,37,11/28/2018,283,0,83.6,0,1,4,279,76,0.333333333,38.8,133.466666667,184.833333333
11/13/2023,38,11/29/2018,281.666666667,0,78.5,0,1,4,277.666666667,76,1.666666667,37.5,163.5,159.666666667
11/13/2023,39,11/30/2018,209.75,0,65.75,0,0.75,3,206.75,57,2.75,37.5,158.416666667,160.166666667
11/13/2023,40,12/1/2018,209.75,0,65.75,0,0.75,3,206.75,57,2.75,37.5,158.416666667,163.25
11/13/2023,41,12/2/2018,209.75,0,65.75,0,0.75,3,206.75,57,2.75,37.5,158.583333333,163.416666667
11/13/2023,42,12/3/2018,209.75,0,79.083333333,0,0.75,3,206.75,57,2.75,37.5,161.583333333,170.083333333
11/13/2023,43,12/4/2018,163.5,0,91.083333333,0,1.25,3,160.5,103,3,39.166666667,184.583333333,173.75
11/13/2023,44,12/5/2018,151.75,1,102.083333333,62.5,1.5,3,148.75,114.75,3,44.666666667,224.916666667,179.833333333
11/13/2023,45,12/6/2018,151.75,1,102.083333333,62.5,0.75,3,148.75,114.75,3,61.416666667,235.416666667,180
11/13/2023,46,12/7/2018,121.4,0.8,85.228571429,50,0.6,2.4,119,91.8,2.4,54.8,202.257142857,165.414285714
11/13/2023,47,12/8/2018,121.4,0.8,85.228571429,50,0.6,2.4,119,91.8,2.4,54.8,203.542857143,169.271428571
11/13/2023,48,12/9/2018,121.4,0.8,85.228571429,50,0.6,2.4,119,91.8,2.4,54.8,203.542857143,169.271428571
11/13/2023,49,12/10/2018,121.4,0.8,120.8,50,0.6,2.4,119,91.8,2.4,59.057142857,204.114285714,174.6
11/13/2023,50,12/11/2018,121.4,0.8,121.342857143,50,0.6,2.4,119,91.8,2.4,61.514285714,205.828571429,176.6
11/13/2023,51,12/12/2018,121.4,0.8,122.942857143,50,0.6,2.4,119,91.8,2.4,61.514285714,212.257142857,188.042857143
11/13/2023,52,12/13/2018,99.571428571,0.571428571,92.333333333,22.857142857,0.428571429,14.571428571,85,65.571428571,1.714285714,52.650793651,165,149.611111111
11/13/2023,53,12/14/2018,113.428571429,0.571428571,109.476190476,22.857142857,0.428571429,28.428571429,85,65.571428571,1.714285714,52.650793651,298.904761905,160.301587302
11/13/2023,54,12/15/2018,113.428571429,0.571428571,109.476190476,22.857142857,0.428571429,28.428571429,85,65.571428571,1.714285714,52.650793651,300.126984127,162.968253968
11/13/2023,55,12/16/2018,113.428571429,0.571428571,126.476190476,22.857142857,0.428571429,28.428571429,85,65.571428571,1.714285714,57.793650794,562.841269841,163.857142857
11/13/2023,56,12/17/2018,1989.285714286,36,140.619047619,1100.285714286,0.428571429,1904.285714286,85,65.571428571,2.428571429,57.793650794,847.603174603,289.531746032
11/13/2023,57,12/18/2018,2041.571428571,36.571428571,141.904761905,1114.142857143,0.428571429,1079,962.571428571,65.571428571,9.714285714,57.904761905,853.460317460,320.071428571
11/13/2023,58,12/19/2018,2208.142857143,38.285714286,141.904761905,1256,0.428571429,1113.142857143,1095,65.571428571,10,58.920634921,864.158730159,338.714285714
11/13/2023,59,12/20/2018,2250.571428571,37.142857143,137.614285714,1215.857142857,0.428571429,1089,1161.571428571,65.571428571,12.285714286,57.228571429,836.342857143,348.942857143
11/13/2023,60,12/21/2018,2382.142857143,36.857142857,137.757142857,1241.428571429,0.428571429,1221,1161.142857143,65.571428571,15.571428571,57.228571429,843.828571429,388.957142857
11/13/2023,61,12/22/2018,2408.285714286,35.857142857,137.757142857,1206.571428571,0.428571429,1163.714285714,1244.571428571,65.571428571,19.714285714,57.228571429,843.928571429,395.685714286
