SoldDate,AverageRetailPriceperOz,AverageRetailPriceperGm,Unit,CCCLastUpdated
1/31/2022,355.5,12.54,Grams,11/06/2023
4/25/2019,411.63,14.52,Grams,11/06/2023
3/7/2022,342.75,12.09,Grams,11/06/2023
6/30/2023,172.65,6.09,Grams,11/06/2023
7/24/2021,394.34,13.91,Grams,11/06/2023
7/30/2023,175.2,6.18,Grams,11/06/2023
10/12/2021,382.72,13.5,Grams,11/06/2023
7/8/2021,391.51,13.81,Grams,11/06/2023
9/25/2020,406.25,14.33,Grams,11/06/2023
11/3/2020,405.11,14.29,Grams,11/06/2023
11/26/2019,415.6,14.66,Grams,11/06/2023
7/6/2022,292.57,10.32,Grams,11/06/2023
11/24/2022,163.86,5.78,Grams,11/06/2023
8/25/2020,410.5,14.48,Grams,11/06/2023
5/11/2022,314.11,11.08,Grams,11/06/2023
5/22/2019,405.4,14.3,Grams,11/06/2023
8/16/2022,280.09,9.88,Grams,11/06/2023
3/13/2023,203.55,7.18,Grams,11/06/2023
1/4/2023,213.47,7.53,Grams,11/06/2023
8/23/2023,174.35,6.15,Grams,11/06/2023
2/1/2021,402.28,14.19,Grams,11/06/2023
2/8/2022,355.5,12.54,Grams,11/06/2023
7/7/2022,288.31,10.17,Grams,11/06/2023
7/10/2019,406.82,14.35,Grams,11/06/2023
1/3/2022,368.54,13,Grams,11/06/2023
3/16/2022,335.66,11.84,Grams,11/06/2023
1/25/2021,403.7,14.24,Grams,11/06/2023
1/5/2019,409.37,14.44,Grams,11/06/2023
3/25/2023,195.61,6.9,Grams,11/06/2023
1/28/2020,417.87,14.74,Grams,11/06/2023
5/26/2023,176.33,6.22,Grams,11/06/2023
6/10/2021,397.18,14.01,Grams,11/06/2023
1/30/2023,157.62,5.56,Grams,11/06/2023
3/29/2023,194.19,6.85,Grams,11/06/2023
4/7/2022,326.02,11.5,Grams,11/06/2023
2/7/2023,198.73,7.01,Grams,11/06/2023
9/8/2023,161.59,5.7,Grams,11/06/2023
5/13/2021,398.31,14.05,Grams,11/06/2023
2/20/2021,402.56,14.2,Grams,11/06/2023
10/4/2022,247.77,8.74,Grams,11/06/2023
11/18/2021,376.76,13.29,Grams,11/06/2023
4/5/2019,411.63,14.52,Grams,11/06/2023
7/20/2020,407.67,14.38,Grams,11/06/2023
4/21/2023,159.89,5.64,Grams,11/06/2023
10/8/2022,254.58,8.98,Grams,11/06/2023
12/10/2021,362.02,12.77,Grams,11/06/2023
1/13/2020,416.45,14.69,Grams,11/06/2023
3/1/2022,347.56,12.26,Grams,11/06/2023
10/15/2019,415.32,14.65,Grams,11/06/2023
6/2/2023,177.75,6.27,Grams,11/06/2023
9/13/2020,409.37,14.44,Grams,11/06/2023
8/9/2021,394.62,13.92,Grams,11/06/2023
6/12/2019,410.78,14.49,Grams,11/06/2023
1/1/2019,405.11,14.29,Grams,11/06/2023
8/4/2020,409.08,14.43,Grams,11/06/2023
6/26/2023,180.3,6.36,Grams,11/06/2023
8/22/2021,393.49,13.88,Grams,11/06/2023
8/17/2023,173.5,6.12,Grams,11/06/2023
4/8/2021,402.56,14.2,Grams,11/06/2023
3/17/2021,393.49,13.88,Grams,11/06/2023
1/26/2019,420.42,14.83,Grams,11/06/2023
1/18/2021,400.58,14.13,Grams,11/06/2023
6/5/2019,405.96,14.32,Grams,11/06/2023
12/22/2021,359.76,12.69,Grams,11/06/2023
4/18/2023,147.98,5.22,Grams,11/06/2023
9/27/2023,170.66,6.02,Grams,11/06/2023
11/4/2022,231.9,8.18,Grams,11/06/2023
9/22/2021,383.57,13.53,Grams,11/06/2023
1/27/2023,204.12,7.2,Grams,11/06/2023
6/4/2019,409.93,14.46,Grams,11/06/2023
7/22/2022,278.96,9.84,Grams,11/06/2023
8/6/2020,407.95,14.39,Grams,11/06/2023
8/3/2023,166.98,5.89,Grams,11/06/2023
10/18/2022,245.51,8.66,Grams,11/06/2023
4/12/2022,328.57,11.59,Grams,11/06/2023
3/25/2022,335.66,11.84,Grams,11/06/2023
2/10/2019,415.6,14.66,Grams,11/06/2023
4/2/2021,402,14.18,Grams,11/06/2023
2/4/2019,408.23,14.4,Grams,11/06/2023
10/10/2020,410.5,14.48,Grams,11/06/2023
8/16/2023,174.63,6.16,Grams,11/06/2023
7/23/2021,394.34,13.91,Grams,11/06/2023
6/26/2019,401.43,14.16,Grams,11/06/2023
9/15/2023,166.41,5.87,Grams,11/06/2023
7/23/2019,407.1,14.36,Grams,11/06/2023
4/30/2022,323.18,11.4,Grams,11/06/2023
3/1/2020,409.37,14.44,Grams,11/06/2023
3/7/2023,157.62,5.56,Grams,11/06/2023
11/23/2019,415.32,14.65,Grams,11/06/2023
6/23/2023,170.66,6.02,Grams,11/06/2023
11/12/2019,413.62,14.59,Grams,11/06/2023
4/8/2023,187.67,6.62,Grams,11/06/2023
9/4/2022,266.49,9.4,Grams,11/06/2023
10/16/2022,204.97,7.23,Grams,11/06/2023
8/13/2022,277.54,9.79,Grams,11/06/2023
1/25/2023,195.89,6.91,Grams,11/06/2023
2/12/2021,407.95,14.39,Grams,11/06/2023
10/6/2019,413.9,14.6,Grams,11/06/2023
1/31/2023,160.17,5.65,Grams,11/06/2023
6/6/2020,403.7,14.24,Grams,11/06/2023
5/19/2023,182.29,6.43,Grams,11/06/2023
3/22/2019,415.32,14.65,Grams,11/06/2023
5/20/2019,405.96,14.32,Grams,11/06/2023
9/1/2023,164.99,5.82,Grams,11/06/2023
1/17/2020,413.62,14.59,Grams,11/06/2023
11/26/2021,361.17,12.74,Grams,11/06/2023
3/23/2021,404.26,14.26,Grams,11/06/2023
9/26/2021,388.96,13.72,Grams,11/06/2023
2/5/2020,413.05,14.57,Grams,11/06/2023
11/23/2020,404.55,14.27,Grams,11/06/2023
12/15/2018,401.71,14.17,Grams,11/06/2023
8/6/2023,158.47,5.59,Grams,11/06/2023
10/17/2021,385.27,13.59,Grams,11/06/2023
9/6/2022,268.75,9.48,Grams,11/06/2023
12/27/2021,368.54,13,Grams,11/06/2023
6/24/2019,409.93,14.46,Grams,11/06/2023
12/20/2020,403.98,14.25,Grams,11/06/2023
3/30/2019,413.05,14.57,Grams,11/06/2023
10/24/2021,386.12,13.62,Grams,11/06/2023
9/25/2022,266.2,9.39,Grams,11/06/2023
4/3/2021,402,14.18,Grams,11/06/2023
4/13/2021,401.71,14.17,Grams,11/06/2023
9/1/2019,403.98,14.25,Grams,11/06/2023
6/4/2021,392.92,13.86,Grams,11/06/2023
3/28/2022,335.66,11.84,Grams,11/06/2023
8/5/2021,390.09,13.76,Grams,11/06/2023
1/23/2023,200.43,7.07,Grams,11/06/2023
